tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0492852,movie,Zolotye chasy,Zolotye chasy,1968,76,\N
tt0492853,tvSeries,Les aventures de Thomas Gordon,Les aventures de Thomas Gordon,1980,15,Mystery
tt0492854,tvMovie,Akon Makes a Video,Akon Makes a Video,2004,22,Documentary
tt0492855,tvMiniSeries,The Clint Howard Variety Show,The Clint Howard Variety Show,2002,\N,"Comedy,Music,Talk-Show"
tt0492856,tvSeries,Crufts Dog Show,Crufts Dog Show,1966,\N,Documentary
tt0492857,tvSeries,Go Kinky,Go Kinky,2005,30,"Comedy,Reality-TV"
tt0492858,tvMovie,Mutig in die neuen zeiten: Im reich der reblaus,Mutig in die neuen zeiten: Im reich der reblaus,2005,103,Drama
tt0492859,tvEpisode,A Deadly Campaign,A Deadly Campaign,2004,\N,"Crime,Documentary"
tt0492860,tvSeries,Raya wa Sekina,Raya wa Sekina,2005,49,"Crime,Drama,Thriller"
tt0492861,tvSeries,Sci-Fi Entertainment,Sci-Fi Entertainment,1998,\N,News
tt0492862,tvMiniSeries,Selambs,Selambs,1979,528,Drama
tt0492863,tvSeries,Speaking in Tongues,Speaking in Tongues,2005,25,Talk-Show
tt0492864,tvSeries,Talk to Me,Talk to Me,2006,\N,Drama
tt0492866,tvSeries,The Janice Dickinson Modeling Agency,The Janice Dickinson Modeling Agency,2006,\N,"Documentary,Reality-TV"
tt0492868,short,208,208,2005,14,"Drama,Horror,Mystery"
tt0492869,movie,Antonia,Antônia,2006,90,"Drama,Musical"
tt0492870,video,Beyoncé: Unauthorized,Beyoncé: Unauthorized,2003,90,"Documentary,Music"
tt0492871,tvShort,"The Black, the White, and the Blue","The Black, the White, and the Blue",1998,3,Short
tt0492872,short,Blink,Blink,2005,10,"Drama,Short"
tt0492873,video,The Cannes Experience: Manderlay 2005,The Cannes Experience: Manderlay 2005,2005,28,"Documentary,Short"
tt0492874,tvEpisode,Casting the Runes,Casting the Runes,1979,47,"Comedy,Drama"
tt0492875,short,DVD,DVD,2006,17,"Comedy,Short"
tt0492876,tvMovie,The Dolphin Murders,The Dolphin Murders,2004,49,Documentary
tt0492877,short,Dona Nobis Pacem,Dona Nobis Pacem,2002,\N,Short
tt0492878,tvMovie,Drake and Josh Go Hollywood,Drake and Josh Go Hollywood,2006,120,"Adventure,Comedy,Family"
tt0492879,short,Exposure,Exposure,2005,19,"Drama,Short"
tt0492880,movie,Fatti della banda della Magliana,Fatti della banda della Magliana,2005,88,"Crime,Drama"
tt0492881,movie,The Fifth Commandment,The Fifth Commandment,2008,90,"Action,Comedy,Crime"
tt0492882,video,Phil Collins: Finally... The First Farewell Tour,Phil Collins: Finally... The First Farewell Tour,2004,133,"Documentary,Music"
tt0492883,short,The Girl the Gun and the Desert,The Girl the Gun and the Desert,2005,14,"Mystery,Short"
tt0492884,movie,Harry: A Communication Breakdown,Harry: A Communication Breakdown,2008,\N,Documentary
tt0492885,short,Huncut,Huncut,2003,4,Short
tt0492887,short,I.O.U,I.O.U,2005,\N,"Horror,Short"
tt0492888,short,The Importance of Blind Dating,The Importance of Blind Dating,2005,29,"Comedy,Short"
tt0492889,short,Last Day on Earth,Last Day on Earth,2004,9,"Sci-Fi,Short"
tt0492890,movie,The Wild Stallion,The Wild Stallion,2009,82,"Drama,Family"
tt0492891,video,Laughing Matters,Laughing Matters,2004,60,"Comedy,Documentary,Romance"
tt0492892,video,Made in the USA,Made in the USA,2003,83,Sport
tt0492893,movie,Matchbook Morning,Matchbook Morning,2005,121,Drama
tt0492894,tvMovie,McBride: Fallen Idol,McBride: Fallen Idol,2006,120,Mystery
tt0492895,video,The Music of Georges Delerue,The Music of Georges Delerue,2005,\N,Short
tt0492896,movie,Archies Final Project,My Suicide,2009,107,"Comedy,Drama"
tt0492897,tvMovie,NBC Premiere Week Preview,NBC Premiere Week Preview,2005,\N,Comedy
tt0492898,tvMovie,Never Say Never,Never Say Never,1979,30,Comedy
tt0492899,movie,Night Lunch,Night Lunch,1975,32,Documentary
tt0492900,short,El perfil de un gallo,El perfil de un gallo,2004,\N,"Documentary,Short"
tt0492901,short,The Pigeon and the Onion Pie,The Pigeon and the Onion Pie,2004,3,"Animation,Short"
tt0492902,short,Prises de vues,Prises de vues,2003,11,"Drama,Short"
tt0492903,movie,Proa al Norte,Proa al Norte,2005,58,Documentary
